STATION,NAME,DATE,PRCP,SNOW
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/24/18,0.26,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/25/18,0.33,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/26/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/27/18,0.09,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/28/18,1.16,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/29/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/30/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/1/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/2/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/3/18,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/4/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/5/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/6/18,0.35,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/7/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/8/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/9/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/10/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/11/18,0.19,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/12/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/13/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/14/18,0.31,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/15/18,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/16/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/17/18,2.68,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/18/18,0.06,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/19/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/20/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/21/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/22/18,0.17,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/23/18,0.03,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/24/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/25/18,0.14,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/26/18,0.6,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/27/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/28/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/29/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/30/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",7/31/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/1/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/2/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/3/18,0.06,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/4/18,0.64,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/5/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/6/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/7/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/8/18,0.98,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/9/18,0.06,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/10/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/11/18,0.39,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/12/18,1.38,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/13/18,0.29,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/14/18,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/15/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/16/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/17/18,0.2,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/18/18,0.13,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/19/18,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/20/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/21/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/22/18,0.5,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/23/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/24/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/25/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/26/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/27/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/28/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/29/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/30/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",8/31/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/1/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/2/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/3/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/4/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/5/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/6/18,0.03,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/7/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/8/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/9/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/10/18,0.76,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/11/18,0.53,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/12/18,0.26,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/13/18,0.44,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/14/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/15/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/16/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/17/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/18/18,1.15,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/19/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/20/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/21/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/22/18,0.03,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/23/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/24/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/25/18,1.24,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/26/18,0.28,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/27/18,0.05,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/28/18,0.35,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/29/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",9/30/18,0,0
